dt_iso,city_id,pressure,humidity,wind_speed,avg_temp_f,weather_type,Average Trip Duration,Amount of Rides,Subscribers,Non Subscribers,Subscriber %,Non Subscriber %
2018-07-15,4975802,1016.0833333333334,85.5,1.8333333333333333,67.48100000000004,2,21.340509805563116,2004.0,568.0,1436.0,28.0,72.0
2018-07-16,4975802,1015.5833333333334,87.95833333333333,1.625,70.17725000000003,2,22.7295580048438,2352.0,500.0,1852.0,21.0,79.0
2018-07-17,4975802,1010.875,96.375,2.2083333333333335,69.24125000000006,6,33.255970753826695,2522.0,546.0,1976.0,22.0,78.0
2018-07-18,4975802,1010.125,73.91666666666667,3.4583333333333335,70.98575000000007,1,23.28148920365875,1659.0,548.0,1111.0,33.0,67.0
2018-07-19,4975802,1017.0833333333334,58.083333333333336,2.4583333333333335,65.38250000000004,1,19.255755464220865,1570.0,562.0,1008.0,36.0,64.0
2018-07-20,4975802,1020.75,68.41666666666667,1.9166666666666667,66.81200000000005,1,17.862122614985143,1250.0,495.0,755.0,40.0,60.0
2018-07-21,4975802,1021.625,76.58333333333333,1.875,65.16650000000006,1,22.65376660896578,1439.0,510.0,929.0,35.0,65.0
2018-07-22,4975802,1021.3333333333334,95.08333333333333,2.5,61.61450000000004,7,29.623642879369992,1529.0,503.0,1026.0,33.0,67.0
2018-07-23,4975802,1023.5,93.45833333333333,2.9166666666666665,72.04775000000002,6,24.121737920700298,1695.0,405.0,1290.0,24.0,76.0
2018-07-24,4975802,1025.5833333333333,91.66666666666667,3.0416666666666665,73.40525000000002,6,28.482426982856236,1657.0,382.0,1275.0,23.0,77.0
2018-07-25,4975802,1020.2916666666666,91.625,3.25,73.61525000000005,6,22.262590959635713,1646.0,559.0,1087.0,34.0,66.0
2018-07-26,4975802,1011.25,95.33333333333333,3.125,72.88250000000006,7,23.241311212498626,1708.0,592.0,1116.0,35.0,65.0
2018-07-27,4975802,1013.625,86.29166666666667,2.2916666666666665,73.47425000000003,6,21.17540840185279,1766.0,619.0,1147.0,35.0,65.0
2018-07-28,4975802,1015.4166666666666,87.54166666666667,1.7083333333333333,73.30550000000004,7,24.729449654439183,1796.0,596.0,1200.0,33.0,67.0
2018-07-29,4975802,1015.5416666666666,80.04166666666667,1.7916666666666667,72.30575000000003,2,29.17598148226413,1284.0,457.0,827.0,36.0,64.0
2018-07-30,4975802,1019.4166666666666,75.04166666666667,2.0,69.14225000000003,1,27.509283850844557,1443.0,329.0,1114.0,23.0,77.0
2018-07-31,4975802,1019.5416666666666,72.29166666666667,2.0,71.16725000000004,2,32.25883127254746,1747.0,362.0,1385.0,21.0,79.0
2018-08-01,4975802,1019.75,86.08333333333333,2.2083333333333335,69.55250000000001,1,22.1207358150734,1695.0,521.0,1174.0,31.0,69.0
2018-08-02,4975802,1016.4583333333334,81.54166666666667,3.0416666666666665,77.03300000000006,[2 6],23.358599579656925,1672.0,557.0,1115.0,33.0,67.0
2018-08-03,4975802,1019.7083333333334,82.375,1.6666666666666667,77.67200000000005,1,22.569174709964944,1547.0,528.0,1019.0,34.0,66.0
2018-08-04,4975802,1019.5,94.875,1.7916666666666667,71.62250000000004,7,20.37513668985902,1587.0,547.0,1040.0,34.0,66.0
2018-08-05,4975802,1018.9166666666666,85.5,1.75,72.95300000000005,2,23.31032053171299,1724.0,538.0,1186.0,31.0,69.0
2018-08-06,4975802,1017.0416666666666,79.58333333333333,1.7916666666666667,76.95425000000003,1,26.439224882922957,1646.0,396.0,1250.0,24.0,76.0
2018-08-07,4975802,1013.5,78.83333333333333,1.875,79.65498125000005,1,32.86841219119418,1635.0,392.0,1243.0,24.0,76.0
2018-08-08,4975802,1012.25,85.16666666666667,1.8333333333333333,75.90725000000005,6,21.2805607498649,1305.0,425.0,880.0,33.0,67.0
2018-08-09,4975802,1007.0,83.58333333333333,2.125,76.79675000000005,[2 7],21.32700191782754,1423.0,465.0,958.0,33.0,67.0
2018-08-10,4975802,1009.875,63.583333333333336,2.4583333333333335,74.01875000000004,1,30.15105573036639,1431.0,526.0,905.0,37.0,63.0
2018-08-11,4975802,1016.375,79.625,1.5416666666666667,64.34300000000005,2,19.311179129494324,1542.0,531.0,1011.0,34.0,66.0
2018-08-12,4975802,1019.8333333333334,93.33333333333333,2.25,66.248,7,25.75023964454743,1689.0,494.0,1195.0,29.0,71.0
2018-08-13,4975802,1019.9166666666666,91.91666666666667,2.1666666666666665,68.04200000000004,6,25.958185483232324,1958.0,407.0,1551.0,21.0,79.0
2018-08-14,4975802,1014.125,97.70833333333333,2.2916666666666665,69.81425000000004,6,25.602542843324418,1480.0,321.0,1159.0,22.0,78.0
2018-08-15,4975802,1010.0416666666666,91.875,1.7083333333333333,73.43825000000002,6,24.820671165660766,1284.0,453.0,831.0,35.0,65.0
