Average Trip Duration,Amount of Rides,Subscribers,Non Subscribers,Subscriber %,Non Subscriber %
20.441860465116278,43,30,13,70.0,30.0
34.79032258064516,62,30,32,48.0,52.0
26.94736842105263,38,26,12,68.0,32.0
14.818181818181818,22,20,2,91.0,9.0
10.758620689655173,29,26,3,90.0,10.0
19.473684210526315,19,16,3,84.0,16.0
12.375,16,11,5,69.0,31.0
100.63636363636364,11,7,4,64.0,36.0
13.0,3,1,2,33.0,67.0
25.2,5,5,0,100.0,0.0
11.5,4,4,0,100.0,0.0
17.333333333333332,6,5,1,83.0,17.0
9.5,8,5,3,62.0,38.0
100.0,1,1,0,100.0,0.0
6.0,1,1,0,100.0,0.0
5.4,5,5,0,100.0,0.0
8.555555555555555,9,9,0,100.0,0.0
15.037037037037036,27,27,0,100.0,0.0
11.205128205128204,39,35,4,90.0,10.0
11.875,24,18,6,75.0,25.0
23.6,25,13,12,52.0,48.0
10.55,20,18,2,90.0,10.0
26.93548387096774,31,25,6,81.0,19.0
18.52777777777778,36,23,13,64.0,36.0
13.137931034482758,29,27,2,93.0,7.0
17.710526315789473,38,25,13,66.0,34.0
21.087719298245613,57,35,22,61.0,39.0
13.459016393442623,61,55,6,90.0,10.0
12.933333333333334,45,41,4,91.0,9.0
12.68421052631579,19,15,4,79.0,21.0
41.5,16,10,6,62.0,38.0
11.95,20,18,2,90.0,10.0
7.0,7,7,0,100.0,0.0
32.42857142857143,7,7,0,100.0,0.0
11.285714285714286,7,1,6,14.0,86.0
7.75,4,4,0,100.0,0.0
6.0,1,1,0,100.0,0.0
37.0,2,1,1,50.0,50.0
15.0,2,1,1,50.0,50.0
12.833333333333334,6,4,2,67.0,33.0
7.181818181818182,11,11,0,100.0,0.0
11.275862068965518,29,27,2,93.0,7.0
10.01923076923077,52,47,5,90.0,10.0
14.225806451612904,31,29,2,94.0,6.0
11.833333333333334,18,15,3,83.0,17.0
18.263157894736842,38,35,3,92.0,8.0
24.0,28,23,5,82.0,18.0
31.466666666666665,30,21,9,70.0,30.0
27.128205128205128,39,29,10,74.0,26.0
12.3,20,14,6,70.0,30.0
11.458333333333334,24,21,3,88.0,12.0
16.5,34,25,9,74.0,26.0
11.0,8,8,0,100.0,0.0
24.428571428571427,14,10,4,71.0,29.0
23.692307692307693,13,12,1,92.0,8.0
6.875,8,8,0,100.0,0.0
14.6,10,8,2,80.0,20.0
13.0,5,4,1,80.0,20.0
3.5,2,1,1,50.0,50.0
7.0,2,2,0,100.0,0.0
27.0,1,1,0,100.0,0.0
3.0,1,1,0,100.0,0.0
7.5,2,2,0,100.0,0.0
9.833333333333334,6,4,2,67.0,33.0
8.454545454545455,22,20,2,91.0,9.0
10.76086956521739,46,40,6,87.0,13.0
6.84,25,23,2,92.0,8.0
13.571428571428571,14,12,2,86.0,14.0
12.90625,32,29,3,91.0,9.0
15.777777777777779,18,16,2,89.0,11.0
11.428571428571429,14,11,3,79.0,21.0
14.857142857142858,7,6,1,86.0,14.0
7.8,10,10,0,100.0,0.0
12.894736842105264,38,36,2,95.0,5.0
11.041666666666666,48,44,4,92.0,8.0
11.538461538461538,26,24,2,92.0,8.0
10.538461538461538,13,13,0,100.0,0.0
18.466666666666665,15,14,1,93.0,7.0
14.454545454545455,11,11,0,100.0,0.0
11.2,5,5,0,100.0,0.0
19.4,5,5,0,100.0,0.0
12.0,1,1,0,100.0,0.0
4.75,4,3,1,75.0,25.0
18.333333333333332,3,2,1,67.0,33.0
10.0,1,1,0,100.0,0.0
5.0,1,1,0,100.0,0.0
10.0,10,10,0,100.0,0.0
22.047619047619047,21,18,3,86.0,14.0
11.193548387096774,31,28,3,90.0,10.0
14.541666666666666,24,22,2,92.0,8.0
11.666666666666666,12,10,2,83.0,17.0
16.4,30,24,6,80.0,20.0
17.862068965517242,29,25,4,86.0,14.0
12.89655172413793,29,24,5,83.0,17.0
32.7037037037037,27,20,7,74.0,26.0
16.043478260869566,23,13,10,57.0,43.0
23.483870967741936,31,21,10,68.0,32.0
14.72549019607843,51,41,10,80.0,20.0
14.272727272727273,33,30,3,91.0,9.0
11.428571428571429,14,14,0,100.0,0.0
10.444444444444445,18,14,4,78.0,22.0
11.11111111111111,9,8,1,89.0,11.0
13.0,4,3,1,75.0,25.0
15.857142857142858,7,6,1,86.0,14.0
4.571428571428571,7,7,0,100.0,0.0
19.833333333333332,6,4,2,67.0,33.0
20.5,4,4,0,100.0,0.0
432.0,2,2,0,100.0,0.0
18.0,1,1,0,100.0,0.0
4.0,1,1,0,100.0,0.0
8.571428571428571,14,14,0,100.0,0.0
